prefix,country_code,region_code,city,postal,lat,lng,AS
154.6.12.0/23,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
154.6.24.0/22,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
149.18.0.0/23,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
154.6.88.0/22,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
45.194.87.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
45.194.95.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
154.205.253.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
154.205.254.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.226.131.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.226.132.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.226.218.0/23,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.226.243.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.226.244.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.243.113.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.243.114.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.252.30.0/23,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.255.59.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
156.255.60.0/24,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
154.193.168.0/22,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
154.193.172.0/22,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
154.193.176.0/22,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
154.193.180.0/22,DE,HE,Frankfurt,60326,50.0966,8.6276,AS214413
154.193.144.0/22,NL,LI,Eygelshoven,6471,50.8836,6.0667,AS214413
154.193.148.0/22,NL,LI,Eygelshoven,6471,50.8836,6.0667,AS214413
154.193.136.0/21,UA,Kyiv,Kyiv,01001,50.4501,30.5234,AS214413
156.233.216.0/22,UA,Kyiv,Kyiv,01001,50.4501,30.5234,AS214413
156.229.56.0/22,MD,Chisinau,Chisinau,2032,47.0105,28.8638,AS214413
156.239.128.0/22,MD,Chisinau,Chisinau,2032,47.0105,28.8638,AS214413
